SKU_ID,ABC_Class,XYZ_Class,Segment,Category,total_units,total_revenue,avg_daily_demand,std_daily_demand,CV,avg_daily_demand_last30d,stockout_days,total_days,stockout_rate_pct,est_lost_revenue,avg_unit_price,mape_14day_ma
IND-001037,A,X,AX,Industrial,70936,344166110.68,111.35949764521193,18.93096839908399,0.16999868712947588,114.73076923076923,14,637,2.197802197802198,7684224.049230769,4928.84,13.892736574562475
IND-001325,A,X,AX,Industrial,65041,257265521.64,100.52704791344668,15.88461084525306,0.1580133026380088,104.71428571428571,15,647,2.3183925811437405,6066938.026738795,4023.4200000000005,12.876548260906926
ELC-001047,A,X,AX,Consumer Electronics,65894,180019373.8,102.959375,24.92903680405824,0.24212498185870146,141.92857142857142,22,640,3.4375000000000004,6325535.713749999,2792.6,13.45033477562676
IND-001213,A,X,AX,Industrial,68402,180018622.01,108.74721780604133,18.284500050256657,0.16813763532661966,107.17241379310344,19,629,3.0206677265500796,5554785.048616852,2688.41,13.770553024869777
ELC-001554,A,X,AX,Consumer Electronics,90090,165074825.3,143.2273449920509,39.91720112092333,0.2786981852043598,211.66666666666666,21,629,3.338632750397456,5644058.292686805,1876.49,13.775843376886312
PHM-001293,A,X,AX,Pharmaceutical,73100,147199598.4,112.63482280431433,18.61875684595013,0.16530195886486504,118.53571428571429,16,649,2.465331278890601,3687934.4221879817,2046.4,13.4075676493884
ELC-001979,A,X,AX,Consumer Electronics,93225,145573258.88,144.08809891808346,38.598592716483694,0.2678818931355854,207.26666666666668,21,647,3.2457496136012365,4816336.343508501,1591.73,13.65356080025227
IND-001449,A,X,AX,Industrial,42866,142980372.7,66.45891472868217,10.901176730053523,0.16402881049980222,63.23076923076923,17,645,2.635658914728682,3834309.203689922,3393.7899999999995,13.45610979562322
PHM-000201,A,X,AX,Pharmaceutical,80806,142292089.44,124.31692307692308,20.583952410442674,0.16557643079459122,119.96428571428571,17,650,2.6153846153846154,3780766.046030769,1788.96,13.560874759636175
IND-000188,A,X,AX,Industrial,25440,136506762.0,40.38095238095238,6.457464030007578,0.15991361395065937,42.26923076923077,15,630,2.380952380952381,3294843.4285714286,5439.6,12.749199174326344
